pos,transaction,date,amount
33618a,201903050064,2019-03-05 13:00:05,7.96
33618a,201903050065,2019-03-05 13:03:45,13.98
33618a,201903050066,2019-03-05 13:05:31,1.59
33618a,201903050067,2019-03-05 13:10:48,10.97
33618a,201903050068,2019-03-05 13:12:47,5.18
33618a,201903050069,2019-03-05 13:13:38,2.99
33618a,201903050070,2019-03-05 13:19:40,4.99
33618a,201903050071,2019-03-05 13:24:11,48.16
33618a,201903050072,2019-03-05 13:28:15,1.0
33618a,201903050073,2019-03-05 13:30:45,21.97
33618a,201903050074,2019-03-05 13:31:11,10.98
33618a,201903050075,2019-03-05 13:31:42,9.97
33618a,201903050076,2019-03-05 13:32:54,21.97
33618a,201903050077,2019-03-05 13:33:21,3.99
33618a,201903050078,2019-03-05 13:38:16,24.95
33618a,201903050079,2019-03-05 13:44:08,8.98
33618a,201903050080,2019-03-05 13:45:15,7.99
33618a,201903050081,2019-03-05 13:47:28,4.99
33618a,201903050082,2019-03-05 13:52:49,2.99
33618a,201903050083,2019-03-05 13:54:26,7.98
33618a,201903050084,2019-03-05 13:54:57,31.98
33618a,201903050085,2019-03-05 13:55:20,7.99
33618a,201903050086,2019-03-05 13:56:58,10.97
33618a,201903050087,2019-03-05 13:57:55,4.99
33618a,201903050088,2019-03-05 14:01:18,3.99
33618a,201903050089,2019-03-05 14:03:05,3.99
33618a,201903050090,2019-03-05 14:03:25,3.99
33618a,201903050091,2019-03-05 14:09:14,6.99
33618a,201903050092,2019-03-05 14:11:29,4.99
33618a,201903050093,2019-03-05 14:13:08,8.99
33618a,201903050094,2019-03-05 14:13:37,7.98
33618a,201903050095,2019-03-05 14:14:29,18.97
33618a,201903050096,2019-03-05 14:15:21,17.94
33618a,201903050097,2019-03-05 14:16:43,7.19
33618a,201903050098,2019-03-05 14:19:48,4.99
33618a,201903050099,2019-03-05 14:21:06,7.99
33618a,201903050100,2019-03-05 14:23:15,-7.99
33618a,201903050101,2019-03-05 14:23:49,13.98
33618a,201903050102,2019-03-05 14:24:12,6.99
33618a,201903050103,2019-03-05 14:25:12,10.98
33618a,201903050104,2019-03-05 14:26:11,6.99
33618a,201903050105,2019-03-05 14:27:58,1.0
33618a,201903050106,2019-03-05 14:28:47,19.99
33618a,201903050107,2019-03-05 14:30:50,10.19
33618a,201903050108,2019-03-05 14:31:22,15.98
33618a,201903050109,2019-03-05 14:33:51,11.98
33618a,201903050110,2019-03-05 14:36:24,7.08
33618a,201903050111,2019-03-05 14:38:28,5.49
33618a,201903050112,2019-03-05 14:41:51,9.99
33618a,201903050113,2019-03-05 14:44:13,8.09
33618a,201903050114,2019-03-05 14:49:19,3.99
33618a,201903050115,2019-03-05 14:50:00,8.98
33618a,201903050116,2019-03-05 14:51:46,6.99
33618a,201903050117,2019-03-05 14:55:36,14.98
33618a,201903050118,2019-03-05 14:57:38,16.97
33618a,201903050119,2019-03-05 14:58:48,12.97
33618a,201903050120,2019-03-05 14:59:23,5.49
33618a,201903050121,2019-03-05 14:59:42,6.99
33618a,201903050122,2019-03-05 15:01:12,7.99
33618a,201903050123,2019-03-05 15:01:28,2.0
33618a,201903050124,2019-03-05 15:06:11,8.19
33618a,201903050125,2019-03-05 15:11:05,15.17
33618a,201903050126,2019-03-05 15:20:56,41.14
33618a,201903050127,2019-03-05 15:21:51,11.98
33618a,201903050128,2019-03-05 15:22:38,13.97
33618a,201903050129,2019-03-05 15:23:13,12.98
33618a,201903050130,2019-03-05 15:23:53,32.97
33618a,201903050131,2019-03-05 15:25:24,13.96
33618a,201903050132,2019-03-05 15:26:23,4.99
33618a,201903050133,2019-03-05 15:28:36,7.99
33618a,201903050134,2019-03-05 15:31:29,49.14
33618a,201903050135,2019-03-05 15:31:54,4.99
33618a,201903050136,2019-03-05 15:32:57,17.95
33618a,201903050137,2019-03-05 15:33:32,11.98
33618a,201903050138,2019-03-05 15:34:23,8.19
33618a,201903050139,2019-03-05 15:35:30,4.99
33618a,201903050140,2019-03-05 15:36:01,16.96
33618a,201903050141,2019-03-05 15:36:55,5.0
33618a,201903050142,2019-03-05 15:37:16,3.99
33618a,201903050143,2019-03-05 15:37:42,4.99
33618a,201903050144,2019-03-05 15:38:14,14.99
33618a,201903050145,2019-03-05 15:38:32,4.99
33618a,201903050146,2019-03-05 15:46:57,11.98
33618a,201903050147,2019-03-05 15:48:13,1.0
33618a,201903050148,2019-03-05 15:49:14,9.99
33618a,201903050149,2019-03-05 15:54:10,9.99
33618a,201903050150,2019-03-05 15:55:32,1.99
33618a,201903050151,2019-03-05 15:58:47,7.99
33618a,201903050152,2019-03-05 16:03:04,1.99
33618a,201903050153,2019-03-05 16:07:20,27.97
33618a,201903050154,2019-03-05 16:07:58,18.97
33618a,201903050155,2019-03-05 16:08:21,2.0
33618a,201903050156,2019-03-05 16:09:10,10.98
33618a,201903050157,2019-03-05 16:09:51,34.99
33618a,201903050158,2019-03-05 16:10:48,19.99
33618a,201903050159,2019-03-05 16:11:23,34.99
33618a,201903050160,2019-03-05 16:20:35,53.92
33618a,201903050161,2019-03-05 16:27:29,15.98
33618a,201903050162,2019-03-05 16:28:12,9.24
33618a,201903050163,2019-03-05 16:30:30,3.99
33618a,201903050164,2019-03-05 16:34:19,12.99
33618a,201903050165,2019-03-05 16:35:13,3.99
33618a,201903050166,2019-03-05 16:37:39,9.17
33618a,201903050167,2019-03-05 16:38:09,9.98
33618a,201903050168,2019-03-05 16:38:50,5.99
33618a,201903050169,2019-03-05 16:41:41,27.97
33618a,201903050170,2019-03-05 16:42:20,11.98
33618a,201903050171,2019-03-05 16:43:29,12.99
33618a,201903050172,2019-03-05 16:44:21,24.17
33618a,201903050173,2019-03-05 16:44:58,9.99
33618a,201903050174,2019-03-05 16:50:10,29.98
33618a,201903050175,2019-03-05 16:51:05,3.99
33618a,201903050176,2019-03-05 16:51:48,14.06
33618a,201903050177,2019-03-05 16:52:27,4.99
33618a,201903050178,2019-03-05 16:52:53,7.0
33618a,201903050179,2019-03-05 16:55:30,28.97
33618a,201903050180,2019-03-05 16:57:06,3.99
33618a,201903050181,2019-03-05 16:57:51,4.99
33618a,201903050182,2019-03-05 16:58:20,1.99
33618a,201903050183,2019-03-05 17:02:39,5.49
33618a,201903050184,2019-03-05 17:03:11,4.99
33618a,201903050185,2019-03-05 17:05:40,5.99
33618a,201903050186,2019-03-05 17:06:07,12.99
33618a,201903050187,2019-03-05 17:08:38,10.97
33618a,201903050188,2019-03-05 17:11:45,-14.99
33618a,201903050189,2019-03-05 17:12:16,14.99
33618a,201903050190,2019-03-05 17:15:34,87.86
33618a,201903050191,2019-03-05 17:18:01,4.99
33618a,201903050192,2019-03-05 17:19:03,3.99
33618a,201903050193,2019-03-05 17:22:02,2.99
33618a,201903050194,2019-03-05 17:22:35,6.99
33618a,201903050195,2019-03-05 17:26:18,42.35
33618a,201903050196,2019-03-05 17:26:55,32.98
33618a,201903050197,2019-03-05 17:30:20,6.99
33618a,201903050198,2019-03-05 17:35:01,2.99
33618a,201903050199,2019-03-05 17:36:08,14.99
33618a,201903050200,2019-03-05 17:40:04,7.99
33618a,201903050201,2019-03-05 17:40:46,4.99
33618a,201903050202,2019-03-05 17:41:58,22.17
33618a,201903050203,2019-03-05 17:42:27,7.99
33618a,201903050204,2019-03-05 17:44:28,10.99
33618a,201903050205,2019-03-05 17:46:44,19.98
33618a,201903050206,2019-03-05 17:52:57,6.98
33618a,201903050207,2019-03-05 17:57:52,9.99
33618a,201903050208,2019-03-05 18:00:06,2.99
33618a,201903050209,2019-03-05 18:00:57,14.99
33618a,201903050210,2019-03-05 18:02:01,13.97
33618a,201903050211,2019-03-05 18:05:38,21.97
33618a,201903050212,2019-03-05 18:07:46,2.99
33618a,201903050213,2019-03-05 18:08:37,8.19
33618a,201903050214,2019-03-05 18:14:48,1.0
33618a,201903050215,2019-03-05 18:16:11,6.99
33618a,201903050216,2019-03-05 18:27:44,9.99
33618a,201903050217,2019-03-05 18:39:37,27.98
33618a,201903050218,2019-03-05 18:45:17,11.07
33618a,201903050219,2019-03-05 18:46:16,6.98
33618a,201903050220,2019-03-05 18:57:20,23.97
33618a,201903060001,2019-03-06 09:36:32,11.98
33618a,201903060002,2019-03-06 09:50:29,23.98
33618a,201903060003,2019-03-06 09:57:47,1.5
33618a,201903060004,2019-03-06 09:58:41,1.99
33618a,201903060005,2019-03-06 10:01:40,25.95
33618a,201903060006,2019-03-06 10:02:01,2.0
33618a,201903060007,2019-03-06 10:08:59,3.99
33618a,201903060008,2019-03-06 10:09:21,7.98
33618a,201903060009,2019-03-06 10:12:20,2.99
33618a,201903060010,2019-03-06 10:16:05,6.49
33618a,201903060011,2019-03-06 10:17:18,9.99
33618a,201903060012,2019-03-06 10:17:57,5.97
33618a,201903060013,2019-03-06 10:19:31,3.99
33618a,201903060014,2019-03-06 10:22:18,6.99
33618a,201903060015,2019-03-06 10:24:57,1.99
33618a,201903060016,2019-03-06 10:25:34,5.49
33618a,201903060017,2019-03-06 10:29:51,-19.99
33618a,201903060018,2019-03-06 10:30:30,19.99
33618a,201903060019,2019-03-06 10:31:24,39.98
33618a,201903060020,2019-03-06 10:32:24,32.98
33618a,201903060021,2019-03-06 10:33:29,10.98
33618a,201903060022,2019-03-06 10:34:01,4.99
33618a,201903060023,2019-03-06 10:43:31,14.99
33618a,201903060024,2019-03-06 10:44:00,9.97
33618a,201903060025,2019-03-06 10:44:53,26.15
33618a,201903060026,2019-03-06 10:45:15,3.99
33618a,201903060027,2019-03-06 10:49:27,20.96
33618a,201903060028,2019-03-06 10:50:55,4.99
33618a,201903060029,2019-03-06 10:51:41,16.98
33618a,201903060030,2019-03-06 10:55:15,25.98
33618a,201903060031,2019-03-06 10:56:06,5.98
33618a,201903060032,2019-03-06 11:00:23,14.99
33618a,201903060033,2019-03-06 11:08:12,11.98
33618a,201903060034,2019-03-06 11:08:51,27.98
33618a,201903060035,2019-03-06 11:09:43,19.98
33618a,201903060036,2019-03-06 11:13:55,7.98
33618a,201903060037,2019-03-06 11:18:28,4.99
33618a,201903060038,2019-03-06 11:19:20,11.97
33618a,201903060039,2019-03-06 11:20:39,25.15
33618a,201903060040,2019-03-06 11:21:47,1.99
33618a,201903060041,2019-03-06 11:23:59,28.94
33618a,201903060042,2019-03-06 11:25:01,29.13
33618a,201903060043,2019-03-06 11:26:33,5.99
33618a,201903060044,2019-03-06 11:30:35,9.99
33618a,201903060045,2019-03-06 11:31:09,9.98
33618a,201903060046,2019-03-06 11:31:27,9.99
33618a,201903060047,2019-03-06 11:31:59,5.19
33618a,201903060048,2019-03-06 11:34:49,2.09
33618a,201903060049,2019-03-06 11:37:15,54.07
33618a,201903060050,2019-03-06 11:38:04,5.49
33618a,201903060051,2019-03-06 11:39:25,25.98
33618a,201903060052,2019-03-06 11:48:02,6.98
33618a,201903060053,2019-03-06 11:48:29,11.08
33618a,201903060054,2019-03-06 11:52:28,8.97
33618a,201903060055,2019-03-06 11:58:58,20.95
33618a,201903060056,2019-03-06 11:59:18,4.99
33618a,201903060057,2019-03-06 12:05:58,6.08
33618a,201903060058,2019-03-06 12:07:02,5.97
33618a,201903060059,2019-03-06 12:09:20,50.13
33618a,201903060060,2019-03-06 12:09:38,2.99
33618a,201903060061,2019-03-06 12:11:33,26.16
33618a,201903060062,2019-03-06 12:14:00,71.12
33618a,201903060063,2019-03-06 12:14:37,9.99
33618a,201903060064,2019-03-06 12:16:26,18.98
33618a,201903060065,2019-03-06 12:17:56,4.98
33618a,201903060066,2019-03-06 12:20:24,12.98
33618a,201903060067,2019-03-06 12:23:00,19.99
33618a,201903060068,2019-03-06 12:28:58,23.15
33618a,201903060069,2019-03-06 12:36:20,7.98
33618a,201903060070,2019-03-06 12:37:54,2.99
33618a,201903060071,2019-03-06 12:41:49,4.99
33618a,201903060072,2019-03-06 12:43:22,16.18
33618a,201903060073,2019-03-06 12:45:26,26.17
33618a,201903060074,2019-03-06 12:46:08,11.98
33618a,201903060075,2019-03-06 12:48:07,5.99
33618a,201903060076,2019-03-06 12:48:57,8.98
33618a,201903060077,2019-03-06 12:49:35,13.19
33618a,201903060078,2019-03-06 12:50:11,7.98
33618a,201903060079,2019-03-06 12:50:54,28.16
33618a,201903060080,2019-03-06 12:53:32,12.99
33618a,201903060081,2019-03-06 12:54:48,9.98
33618a,201903060082,2019-03-06 12:57:07,3.99
33618a,201903060083,2019-03-06 12:58:13,39.99
33618a,201903060084,2019-03-06 13:01:33,7.99
33618a,201903060085,2019-03-06 13:05:24,3.99
33618a,201903060086,2019-03-06 13:06:35,8.98
33618a,201903060087,2019-03-06 13:10:10,44.13
33618a,201903060088,2019-03-06 13:10:32,3.99
33618a,201903060089,2019-03-06 13:13:21,18.98
33618a,201903060090,2019-03-06 13:16:03,80.93
33618a,201903060091,2019-03-06 13:16:57,2.19
33618a,201903060092,2019-03-06 13:22:12,14.17
33618a,201903060093,2019-03-06 13:25:14,12.99
33618a,201903060094,2019-03-06 13:31:04,6.99
33618a,201903060095,2019-03-06 13:38:08,18.97
33618a,201903060096,2019-03-06 13:38:53,3.5
33618a,201903060097,2019-03-06 13:45:49,7.99
33618a,201903060098,2019-03-06 13:48:03,6.99
33618a,201903060099,2019-03-06 13:49:09,4.99
33618a,201903060100,2019-03-06 13:52:02,34.95
33618a,201903060101,2019-03-06 13:55:39,19.99
33618a,201903060102,2019-03-06 13:56:56,49.98
33618a,201903060103,2019-03-06 13:57:25,4.99
33618a,201903060104,2019-03-06 13:57:49,9.99
33618a,201903060105,2019-03-06 13:58:14,12.99
33618a,201903060106,2019-03-06 13:59:51,3.99
33618a,201903060107,2019-03-06 14:00:36,11.97
33618a,201903060108,2019-03-06 14:01:28,7.99
33618a,201903060109,2019-03-06 14:12:28,32.97
33618a,201903060110,2019-03-06 14:15:46,17.25
33618a,201903060111,2019-03-06 14:17:01,13.19
33618a,201903060112,2019-03-06 14:20:22,12.99
33618a,201903060113,2019-03-06 14:21:29,8.98
33618a,201903060114,2019-03-06 14:24:28,14.99
33618a,201903060115,2019-03-06 14:28:15,44.14
33618a,201903060116,2019-03-06 14:34:13,12.99
33618a,201903060117,2019-03-06 14:38:03,-20.98
33618a,201903060118,2019-03-06 14:38:58,9.99
33618a,201903060119,2019-03-06 14:39:33,14.99
33618a,201903060120,2019-03-06 14:40:12,3.5
33618a,201903060121,2019-03-06 14:41:49,8.97
33618a,201903060122,2019-03-06 14:45:23,13.19
33618a,201903060123,2019-03-06 14:49:04,12.99
33618a,201903060124,2019-03-06 14:53:37,24.94
33618a,201903060125,2019-03-06 14:54:10,6.99
33618a,201903060126,2019-03-06 14:54:39,14.99
33618a,201903060127,2019-03-06 14:55:01,15.97
33618a,201903060128,2019-03-06 14:55:36,4.99
33618a,201903060129,2019-03-06 14:59:03,12.98
33618a,201903060130,2019-03-06 15:01:48,3.99
33618a,201903060131,2019-03-06 15:02:37,8.97
33618a,201903060132,2019-03-06 15:04:34,13.49
33618a,201903060133,2019-03-06 15:05:04,14.99
33618a,201903060134,2019-03-06 15:05:50,6.99
33618a,201903060135,2019-03-06 15:08:18,14.99
33618a,201903060136,2019-03-06 15:08:36,4.99
33618a,201903060137,2019-03-06 15:09:34,12.99
33618a,201903060138,2019-03-06 15:10:57,4.99
33618a,201903060139,2019-03-06 15:12:09,20.18
33618a,201903060140,2019-03-06 15:12:40,6.98
33618a,201903060141,2019-03-06 15:13:51,8.99
33618a,201903060142,2019-03-06 15:19:47,9.99
33618a,201903060143,2019-03-06 15:20:41,11.98
33618a,201903060144,2019-03-06 15:27:14,12.99
33618a,201903060145,2019-03-06 15:29:07,9.98
33618a,201903060146,2019-03-06 15:30:47,27.17
33618a,201903060147,2019-03-06 15:34:01,24.96
33618a,201903060148,2019-03-06 15:34:41,24.99
33618a,201903060149,2019-03-06 15:37:44,4.99
33618a,201903060150,2019-03-06 15:40:27,1.99
33618a,201903060151,2019-03-06 15:43:23,28.16
33618a,201903060152,2019-03-06 15:44:08,1.99
33618a,201903060153,2019-03-06 15:45:37,14.99
33618a,201903060154,2019-03-06 15:51:06,1.5
33618a,201903060155,2019-03-06 15:53:19,21.18
33618a,201903060156,2019-03-06 15:53:30,7.99
33618a,201903060157,2019-03-06 16:01:56,9.99
33618a,201903060158,2019-03-06 16:02:30,4.99
33618a,201903060159,2019-03-06 16:03:12,13.98
33618a,201903060160,2019-03-06 16:03:37,8.49
33618a,201903060161,2019-03-06 16:04:25,4.99
33618a,201903060162,2019-03-06 16:04:52,4.99
33618a,201903060163,2019-03-06 16:05:28,25.97
33618a,201903060164,2019-03-06 16:06:16,32.98
33618a,201903060165,2019-03-06 16:08:20,32.12
33618a,201903060166,2019-03-06 16:08:29,4.99
33618a,201903060167,2019-03-06 16:09:39,4.99
33618a,201903060168,2019-03-06 16:10:36,12.99
33618a,201903060169,2019-03-06 16:11:02,6.99
33618a,201903060170,2019-03-06 16:11:40,16.98
33618a,201903060171,2019-03-06 16:11:55,9.99
33618a,201903060172,2019-03-06 16:12:38,16.97
33618a,201903060173,2019-03-06 16:13:53,10.97
33618a,201903060174,2019-03-06 16:15:52,9.17
33618a,201903060175,2019-03-06 16:16:08,4.99
33618a,201903060176,2019-03-06 16:16:21,1.99
33618a,201903060177,2019-03-06 16:17:32,12.98
33618a,201903060178,2019-03-06 16:17:50,7.98
33618a,201903060179,2019-03-06 16:18:32,11.96
33618a,201903060180,2019-03-06 16:20:33,9.99
33618a,201903060181,2019-03-06 16:24:05,27.16
33618a,201903060182,2019-03-06 16:24:51,17.99
33618a,201903060183,2019-03-06 16:26:08,11.98
33618a,201903060184,2019-03-06 16:26:30,1.0
33618a,201903060185,2019-03-06 16:26:55,8.98
33618a,201903060186,2019-03-06 16:31:50,30.15
33618a,201903060187,2019-03-06 16:32:31,14.98
33618a,201903060188,2019-03-06 16:38:14,22.97
33618a,201903060189,2019-03-06 16:41:00,7.99
33618a,201903060190,2019-03-06 16:42:11,37.15
33618a,201903060191,2019-03-06 16:45:20,14.99
33618a,201903060192,2019-03-06 16:49:26,40.63
33618a,201903060193,2019-03-06 16:51:30,8.19
33618a,201903060194,2019-03-06 16:53:02,16.95
33618a,201903060195,2019-03-06 16:54:10,14.17
33618a,201903060196,2019-03-06 16:56:36,31.15
33618a,201903060197,2019-03-06 16:57:22,39.97
33618a,201903060198,2019-03-06 16:58:04,6.99
33618a,201903060199,2019-03-06 17:00:06,5.98
33618a,201903060200,2019-03-06 17:01:03,9.98
33618a,201903060201,2019-03-06 17:03:59,18.98
33618a,201903060202,2019-03-06 17:05:47,5.99
33618a,201903060203,2019-03-06 17:06:13,39.99
33618a,201903060204,2019-03-06 17:10:11,5.48
33618a,201903060205,2019-03-06 17:12:51,5.99
33618a,201903060206,2019-03-06 17:16:53,21.98
33618a,201903060207,2019-03-06 17:20:35,4.19
33618a,201903060208,2019-03-06 17:22:40,11.98
33618a,201903060209,2019-03-06 17:27:30,19.98
33618a,201903060210,2019-03-06 17:36:10,18.95
33618a,201903060211,2019-03-06 17:38:29,9.99
33618a,201903060212,2019-03-06 17:45:30,0.2
33618a,201903060213,2019-03-06 17:48:14,13.19
33618a,201903060214,2019-03-06 17:52:29,7.98
33618a,201903060215,2019-03-06 17:53:13,17.99
33618a,201903060216,2019-03-06 17:53:40,12.99
33618a,201903060217,2019-03-06 17:54:22,19.99
33618a,201903060218,2019-03-06 17:55:08,7.99
33618a,201903060219,2019-03-06 17:56:06,48.95
33618a,201903060220,2019-03-06 17:59:56,57.92
33618a,201903060221,2019-03-06 18:00:27,17.99
33618a,201903060222,2019-03-06 18:00:46,2.99
33618a,201903060223,2019-03-06 18:11:22,-7.99
33618a,201903060224,2019-03-06 18:12:44,24.99
33618a,201903060225,2019-03-06 18:13:37,12.04
33618a,201903060226,2019-03-06 18:14:24,16.47
33618a,201903060227,2019-03-06 18:15:01,4.09
33618a,201903060228,2019-03-06 18:15:33,4.99
33618a,201903060229,2019-03-06 18:17:17,28.16
33618a,201903060230,2019-03-06 18:18:30,9.99
33618a,201903060231,2019-03-06 18:25:41,19.97
33618a,201903060232,2019-03-06 18:38:03,9.99
33618a,201903060233,2019-03-06 18:40:23,4.99
33618a,201903060234,2019-03-06 18:41:01,9.99
33618a,201903060235,2019-03-06 18:42:57,-4.99
33618a,201903060236,2019-03-06 18:44:51,47.09
33618a,201903060237,2019-03-06 18:45:20,14.95
33618a,201903060238,2019-03-06 18:46:01,11.98
33618a,201903060239,2019-03-06 18:46:16,4.99
33618a,201903060240,2019-03-06 18:46:58,8.97
33618a,201903060241,2019-03-06 18:47:36,14.99
33618a,201903060242,2019-03-06 18:50:29,9.98
33618a,201903060243,2019-03-06 18:51:25,4.99
33618a,201903070001,2019-03-07 09:45:46,26.49
33618a,201903070002,2019-03-07 09:46:34,2.99
33618a,201903070003,2019-03-07 10:03:22,7.99
33618a,201903070004,2019-03-07 10:14:21,29.99
33618a,201903070005,2019-03-07 10:15:04,11.98
33618a,201903070006,2019-03-07 10:15:40,3.0
33618a,201903070007,2019-03-07 10:16:17,4.99
33618a,201903070008,2019-03-07 10:16:57,4.99
33618a,201903070009,2019-03-07 10:17:27,5.98
33618a,201903070010,2019-03-07 10:21:02,29.97
33618a,201903070011,2019-03-07 10:32:06,13.93
33618a,201903070012,2019-03-07 10:37:31,5.98
33618a,201903070013,2019-03-07 10:38:16,20.97
33618a,201903070014,2019-03-07 10:39:27,6.98
33618a,201903070015,2019-03-07 10:52:06,69.96
33618a,201903070016,2019-03-07 10:53:38,-12.99
33618a,201903070017,2019-03-07 10:55:17,10.19
33618a,201903070018,2019-03-07 11:02:27,7.99
33618a,201903070019,2019-03-07 11:08:06,14.99
33618a,201903070020,2019-03-07 11:08:55,1.99
33618a,201903070021,2019-03-07 11:14:03,9.98
33618a,201903070022,2019-03-07 11:17:35,6.1
33618a,201903070023,2019-03-07 11:18:05,5.1
33618a,201903070024,2019-03-07 11:18:56,12.18
33618a,201903070025,2019-03-07 11:20:16,6.97
33618a,201903070026,2019-03-07 11:31:39,14.99
33618a,201903070027,2019-03-07 11:34:57,4.99
33618a,201903070028,2019-03-07 11:38:31,53.15
33618a,201903070029,2019-03-07 11:39:22,13.19
33618a,201903070030,2019-03-07 11:47:15,6.08
33618a,201903070031,2019-03-07 11:52:38,17.97
33618a,201903070032,2019-03-07 11:53:35,57.15
33618a,201903070033,2019-03-07 11:53:59,29.99
33618a,201903070034,2019-03-07 11:54:31,29.97
33618a,201903070035,2019-03-07 11:54:54,2.0
33618a,201903070036,2019-03-07 11:55:18,4.99
33618a,201903070037,2019-03-07 11:57:54,9.99
33618a,201903070038,2019-03-07 11:59:41,4.99
33618a,201903070039,2019-03-07 12:00:34,16.97
33618a,201903070040,2019-03-07 12:01:27,7.97
33618a,201903070041,2019-03-07 12:05:18,73.13
33618a,201903070042,2019-03-07 12:06:08,26.98
33618a,201903070043,2019-03-07 12:07:37,35.17
33618a,201903070044,2019-03-07 12:15:23,9.99
33618a,201903070045,2019-03-07 12:19:53,9.99
33618a,201903070046,2019-03-07 12:22:03,9.99
33618a,201903070047,2019-03-07 12:24:56,5.98
33618a,201903070048,2019-03-07 12:25:21,1.99
33618a,201903070049,2019-03-07 12:25:58,19.99
33618a,201903070050,2019-03-07 12:27:15,1.99
33618a,201903070051,2019-03-07 12:30:45,29.75
33618a,201903070052,2019-03-07 12:32:55,30.95
33618a,201903070053,2019-03-07 12:35:39,11.97
33618a,201903070054,2019-03-07 12:36:05,9.98
33618a,201903070055,2019-03-07 12:39:34,5.99
33618a,201903070056,2019-03-07 12:40:19,12.99
33618a,201903070057,2019-03-07 12:41:01,2.99
33618a,201903070058,2019-03-07 12:42:05,4.99
33618a,201903070059,2019-03-07 12:47:01,7.99
33618a,201903070060,2019-03-07 12:48:53,9.99
33618a,201903070061,2019-03-07 12:53:57,12.99
33618a,201903070062,2019-03-07 12:56:10,21.96
33618a,201903070063,2019-03-07 12:58:02,14.98
33618a,201903070064,2019-03-07 13:00:23,19.19
33618a,201903070065,2019-03-07 13:01:45,9.98
33618a,201903070066,2019-03-07 13:02:30,3.99
33618a,201903070067,2019-03-07 13:03:46,6.99
33618a,201903070068,2019-03-07 13:04:41,5.0
33618a,201903070069,2019-03-07 13:05:08,9.98
33618a,201903070070,2019-03-07 13:05:39,20.0
33618a,201903070071,2019-03-07 13:07:17,6.0
33618a,201903070072,2019-03-07 13:07:47,11.48
33618a,201903070073,2019-03-07 13:08:22,4.99
33618a,201903070074,2019-03-07 13:11:52,19.98
33618a,201903070075,2019-03-07 13:13:19,5.98
33618a,201903070076,2019-03-07 13:15:31,7.99
33618a,201903070077,2019-03-07 13:16:23,9.99
33618a,201903070078,2019-03-07 13:16:43,-4.99
33618a,201903070079,2019-03-07 13:17:07,4.99
33618a,201903070080,2019-03-07 13:19:17,29.16
33618a,201903070081,2019-03-07 13:20:05,4.99
33618a,201903070082,2019-03-07 13:21:21,4.99
33618a,201903070083,2019-03-07 13:23:28,3.99
33618a,201903070084,2019-03-07 13:25:31,11.98
33618a,201903070085,2019-03-07 13:26:19,20.18
33618a,201903070086,2019-03-07 13:27:43,9.99
33618a,201903070087,2019-03-07 13:32:15,18.96
33618a,201903070088,2019-03-07 13:33:10,1.0
33618a,201903070089,2019-03-07 13:35:36,23.14
33618a,201903070090,2019-03-07 13:39:38,23.97
33618a,201903070091,2019-03-07 13:43:19,17.98
33618a,201903070092,2019-03-07 13:44:26,36.94
33618a,201903070093,2019-03-07 13:45:34,23.17
33618a,201903070094,2019-03-07 13:49:48,22.96
33618a,201903070095,2019-03-07 13:51:25,22.97
33618a,201903070096,2019-03-07 13:52:09,25.16
33618a,201903070097,2019-03-07 13:52:43,13.98
33618a,201903070098,2019-03-07 14:00:00,14.98
33618a,201903070099,2019-03-07 14:00:28,14.99
33618a,201903070100,2019-03-07 14:01:45,21.95
33618a,201903070101,2019-03-07 14:03:11,16.96
33618a,201903070102,2019-03-07 14:05:59,7.99
33618a,201903070103,2019-03-07 14:07:53,71.91
33618a,201903070104,2019-03-07 14:08:24,3.99
33618a,201903070105,2019-03-07 14:09:35,3.99
33618a,201903070106,2019-03-07 14:11:36,6.98
33618a,201903070107,2019-03-07 14:12:25,10.18
33618a,201903070108,2019-03-07 14:13:12,20.98
33618a,201903070109,2019-03-07 14:14:10,3.99
33618a,201903070110,2019-03-07 14:15:17,14.97
33618a,201903070111,2019-03-07 14:15:44,17.97
33618a,201903070112,2019-03-07 14:22:13,17.98
33618a,201903070113,2019-03-07 14:22:35,4.99
33618a,201903070114,2019-03-07 14:26:15,1.99
33618a,201903070115,2019-03-07 14:30:16,4.99
33618a,201903070116,2019-03-07 14:31:06,9.99
33618a,201903070117,2019-03-07 14:32:47,20.18
33618a,201903070118,2019-03-07 14:33:24,14.99
33618a,201903070119,2019-03-07 14:34:10,16.96
33618a,201903070120,2019-03-07 14:37:58,6.18
33618a,201903070121,2019-03-07 14:38:32,5.49
33618a,201903070122,2019-03-07 14:43:49,46.12
33618a,201903070123,2019-03-07 14:45:05,6.99
33618a,201903070124,2019-03-07 14:48:14,5.19
33618a,201903070125,2019-03-07 14:51:03,14.98
33618a,201903070126,2019-03-07 14:52:33,12.95
33618a,201903070127,2019-03-07 14:53:33,61.95
33618a,201903070128,2019-03-07 15:01:23,7.98
33618a,201903070129,2019-03-07 15:01:33,4.99
33618a,201903070130,2019-03-07 15:02:10,3.98
33618a,201903070131,2019-03-07 15:03:29,7.99
33618a,201903070132,2019-03-07 15:05:57,2.0
33618a,201903070133,2019-03-07 15:11:35,4.99
33618a,201903070134,2019-03-07 15:14:31,9.99
33618a,201903070135,2019-03-07 15:22:18,14.99
33618a,201903070136,2019-03-07 15:22:35,14.99
33618a,201903070137,2019-03-07 15:23:40,5.5
